date,BANKBARODA,BANKINDIA,MAHABANK,CANBK,CENTRALBK,INDIANB,IOB,PSB,PNB,SBIN,UCOBANK,UNIONBANK
2025-02-18,-0.004127979278564453,0.030581414699554443,-0.006365418434143066,0.005281031131744385,0.0280076265335083,-0.002327442169189453,0.020594000816345215,0.02545541524887085,0.014204561710357666,0.0026109814643859863,0.03259176015853882,0.006543993949890137
2025-02-19,0.013471484184265137,-0.03511321544647217,-0.015711069107055664,-0.010744571685791016,-0.010478019714355469,-0.013932347297668457,-0.02478969097137451,-0.026599526405334473,-0.010835766792297363,-0.0020667314529418945,-0.03155076503753662,0.04730057716369629
2025-02-20,0.022494912147521973,-0.05395221710205078,-0.00984334945678711,-0.02926468849182129,-0.023331165313720703,0.0005974173545837402,-0.019438505172729492,-0.036881327629089355,-0.030106067657470703,-0.0032999515533447266,-0.0202176570892334,0.01880335807800293
2025-02-21,-0.015500009059906006,0.03075510263442993,0.011139869689941406,0.008262455463409424,0.012455165386199951,0.018132925033569336,0.012499988079071045,0.020035982131958008,0.014613091945648193,0.010552287101745605,0.019817054271697998,-0.011921584606170654
2025-02-24,-0.007871925830841064,0.006114304065704346,0.016294479370117188,0.004410684108734131,0.01688748598098755,-0.0233384370803833,0.00922548770904541,0.011026859283447266,0.002808690071105957,0.007756173610687256,0.013478517532348633,0.014031648635864258
2025-02-25,-0.018428504467010498,0.027789533138275146,0.003885507583618164,0.022151172161102295,-0.006305694580078125,0.011601388454437256,-0.0010826587677001953,0.0150986909866333,0.009238362312316895,0.007677257061004639,-0.0,-0.00863736867904663
2025-02-27,-0.007822692394256592,0.015383005142211914,0.01827138662338257,0.01837402582168579,0.02031111717224121,0.0008025765419006348,0.01362752914428711,0.007783055305480957,0.012508571147918701,0.009846687316894531,0.010772466659545898,-0.009957373142242432
2025-02-28,-0.029960572719573975,0.014626026153564453,0.029485583305358887,0.030641019344329834,0.029995620250701904,0.02078312635421753,0.045394718647003174,0.043498873710632324,-0.049631476402282715,0.021451950073242188,0.033997416496276855,-0.026311039924621582
2025-03-03,-0.0059604644775390625,-0.0037107467651367188,0.03813832998275757,-0.006348252296447754,0.045020461082458496,0.020814120769500732,0.04181021451950073,0.04597419500350952,-0.0012116432189941406,-0.009436726570129395,0.04206758737564087,-0.027022063732147217
2025-03-04,0.0,-0.003921151161193848,-0.017249107360839844,-0.006439805030822754,-0.026428580284118652,-0.008795857429504395,-0.030688166618347168,-0.022922635078430176,-0.002183675765991211,-0.02984321117401123,-0.02726757526397705,0.032985806465148926
2025-03-05,-0.04742431640625,-0.02064502239227295,-0.0389782190322876,-0.037607669830322266,-0.02366042137145996,-0.03342318534851074,-0.023261189460754395,-0.03081226348876953,0.030395150184631348,-0.01997065544128418,-0.02710247039794922,0.029271364212036133
2025-03-06,-0.009627938270568848,-0.0004373788833618164,-0.012081384658813477,-0.003901362419128418,-0.005211830139160156,-0.01034557819366455,-0.008410930633544922,-0.017539501190185547,0.013923287391662598,-0.0023276805877685547,-0.01360177993774414,0.008023500442504883
2025-03-07,0.0061855316162109375,0.005136609077453613,-0.004397869110107422,0.0038861632347106934,-0.0015779733657836914,-0.006362438201904297,-0.006988167762756348,-0.01116788387298584,0.001978278160095215,-0.0009561777114868164,-0.00483095645904541,0.007517457008361816
2025-03-10,0.00907677412033081,0.030978798866271973,0.005838155746459961,0.02970045804977417,0.03556162118911743,0.04129207134246826,0.028206825256347656,0.03745502233505249,-0.028222978115081787,0.005254149436950684,0.03044867515563965,-0.030547738075256348
2025-03-11,0.007066249847412109,-0.0062351226806640625,0.014890909194946289,-0.009468317031860352,0.01610267162322998,-0.006182432174682617,0.018659353256225586,0.005238175392150879,-0.004780709743499756,-0.0013033151626586914,0.005234122276306152,0.005885481834411621
2025-03-12,0.000790715217590332,0.010815680027008057,0.009793519973754883,0.009764909744262695,0.008776068687438965,0.03430616855621338,0.011971771717071533,0.015295922756195068,-0.01453101634979248,0.009316980838775635,0.01190805435180664,-0.010892033576965332
2025-03-13,-0.015299320220947266,-0.001708388328552246,0.02322077751159668,-0.005190134048461914,0.007657349109649658,0.006998896598815918,0.013067245483398438,0.0040743350982666016,0.00353395938873291,-0.006638526916503906,0.013452887535095215,0.000819087028503418
2025-03-17,-0.001039266586303711,-0.00727689266204834,0.021131396293640137,0.004776060581207275,0.011092424392700195,-0.018902182579040527,0.010592281818389893,0.00562518835067749,0.0031572580337524414,0.006457328796386719,0.004545450210571289,-0.010184645652770996
2025-03-18,-0.01764857769012451,-0.03984653949737549,-0.03328084945678711,-0.01725029945373535,-0.030724287033081055,-0.026517152786254883,-0.032360196113586426,-0.024685025215148926,0.016947150230407715,-0.018737435340881348,-0.031107306480407715,0.045842885971069336
2025-03-19,-0.020913004875183105,-0.047003865242004395,-0.03460288047790527,-0.019635319709777832,-0.03288388252258301,-0.0239943265914917,-0.03299558162689209,-0.030363917350769043,0.02321147918701172,-0.011402130126953125,-0.033766865730285645,0.016865849494934082
2025-03-20,-0.008993268013000488,0.007983386516571045,0.006100118160247803,-0.0031261444091796875,-0.00870358943939209,-0.0172499418258667,0.01893681287765503,-0.002922534942626953,0.0030246973037719727,-0.005972385406494141,0.00696110725402832,-0.0041465163230896
2025-03-21,-0.004704117774963379,-0.033653855323791504,-0.015449762344360352,-0.019820451736450195,-0.02520442008972168,-0.025583267211914062,-0.0130232572555542,-0.05463814735412598,0.020180940628051758,-0.004869580268859863,-0.01752495765686035,0.028018712997436523
2025-03-24,-0.03597831726074219,-0.016986846923828125,-0.006669402122497559,-0.04314875602722168,-0.03853809833526611,-9.560585021972656e-05,-0.02089071273803711,-0.028321385383605957,0.030013680458068848,-0.0366436243057251,-0.011658668518066406,0.04024970531463623
2025-03-25,0.006184577941894531,0.015510082244873047,0.03602480888366699,0.03128659725189209,0.04691833257675171,0.009078741073608398,0.03822803497314453,-0.04657411575317383,-0.022185444831848145,0.010181903839111328,0.04295438528060913,-0.032122015953063965
2025-03-26,0.012206733226776123,0.005251407623291016,0.003865957260131836,0.013789772987365723,0.03490710258483887,0.0005786418914794922,0.00607907772064209,0.04621309041976929,-0.010159075260162354,0.01145106554031372,0.015325725078582764,-0.025561511516571045
2025-03-27,-0.04821908473968506,-0.022741079330444336,-0.00927126407623291,-0.027719855308532715,-0.019244074821472168,-0.018720388412475586,0.01787811517715454,-0.0017944574356079102,0.038202762603759766,-0.010863900184631348,-0.020011186599731445,0.033284664154052734
2025-03-28,0.010633409023284912,0.00635296106338501,0.010040640830993652,0.007280111312866211,0.027070045471191406,0.020933926105499268,-0.06658679246902466,0.024182677268981934,-0.0028558969497680664,0.0010358691215515137,0.027247965335845947,0.01589810848236084
2025-04-01,-0.00023365020751953125,-0.029570460319519043,0.001078963279724121,-0.011300802230834961,0.034136056900024414,0.019156336784362793,-0.03258919715881348,-0.20009177923202515,0.0012117624282836914,-0.0002592802047729492,-0.1260504126548767,-0.011142969131469727
2025-04-02,-0.012847423553466797,-0.011449694633483887,0.0017282962799072266,-0.012125492095947266,-0.10772210359573364,0.002268671989440918,-0.0071617960929870605,-0.12478488683700562,0.011442422866821289,-0.005507349967956543,-0.03717947006225586,0.020299911499023438
2025-04-03,-0.02260148525238037,-0.03021872043609619,-0.03137850761413574,-0.03605830669403076,-0.0005425810813903809,-0.03677701950073242,0.00614476203918457,-0.011799454689025879,0.01696944236755371,-0.004188418388366699,0.011318206787109375,0.0312652587890625
2025-04-04,0.010374367237091064,0.029797911643981934,0.022870361804962158,-0.042398810386657715,-0.01818680763244629,0.005721390247344971,-0.02203923463821411,-0.07031506299972534,-0.0240667462348938,0.0150795578956604,-0.01876235008239746,-0.06992673873901367
2025-04-07,0.021194159984588623,-0.05134856700897217,-0.06334549188613892,-0.036344289779663086,-0.04644721746444702,0.012084007263183594,-0.054303526878356934,-0.08847665786743164,-0.017536163330078125,-0.02677696943283081,-0.058705151081085205,-0.03420543670654297
2025-04-08,-0.028405189514160156,0.03288137912750244,0.03576350212097168,0.026781320571899414,0.01768624782562256,-0.013979196548461914,0.02871084213256836,0.03444230556488037,0.020972728729248047,0.029053330421447754,0.029579520225524902,0.02463400363922119
2025-04-09,0.0239982008934021,-0.022822916507720947,0.006197452545166016,-0.011366426944732666,-0.03532755374908447,0.036668241024017334,-0.01814126968383789,0.003783583641052246,-0.011909902095794678,-0.034348130226135254,-0.006922781467437744,-0.03388088941574097
2025-04-11,-0.009974479675292969,0.013131499290466309,0.004399538040161133,0.024083375930786133,0.016834020614624023,-0.016795873641967773,-0.007106304168701172,0.018092751502990723,0.0033174753189086914,0.01569652557373047,0.008713841438293457,0.00929868221282959
2025-04-15,-0.010565042495727539,0.029583454132080078,0.008103370666503906,0.023635029792785645,0.02439737319946289,-0.010165214538574219,0.01431429386138916,0.02443540096282959,0.005400657653808594,0.012800931930541992,0.02038705348968506,0.03878211975097656
2025-04-16,-0.02499997615814209,0.03699791431427002,0.03237020969390869,0.02170395851135254,0.023816227912902832,-0.04973399639129639,0.028506875038146973,0.017347335815429688,0.02324044704437256,0.010805487632751465,0.02438199520111084,0.03969931602478027
2025-04-17,-0.008203983306884766,0.014085769653320312,0.018518567085266113,0.014011263847351074,0.0036001205444335938,-0.012351393699645996,0.017288684844970703,-0.0017761588096618652,0.006749629974365234,0.03330099582672119,0.005950450897216797,-0.005280613899230957
2025-04-21,-0.02727067470550537,0.023576736450195312,0.05165290832519531,0.03108978271484375,0.033388495445251465,-0.0040972232818603516,0.03372001647949219,0.06832742691040039,0.028094053268432617,0.024139404296875,0.027604341506958008,0.016252875328063965
2025-04-22,-0.012202858924865723,-0.008659958839416504,-0.007858574390411377,0.016751408576965332,0.028571367263793945,-0.009067773818969727,0.018528103828430176,0.008327722549438477,0.010557889938354492,0.00697934627532959,0.007035493850708008,-0.005545318126678467
2025-04-23,0.004018604755401611,-0.00882565975189209,0.006336569786071777,-0.012117326259613037,-0.0072689056396484375,0.0011682510375976562,-0.006405353546142578,-0.009580492973327637,-0.003584921360015869,-0.010882794857025146,-0.010161936283111572,0.010667562484741211
2025-04-24,-0.0023359060287475586,0.006723642349243164,-0.005509614944458008,-0.0005379915237426758,-0.004184067249298096,0.013855159282684326,-0.0033521652221679688,-0.00333559513092041,-0.0029810667037963867,-6.145238876342773e-05,-0.005453944206237793,-0.005997121334075928
2025-04-25,0.02076268196105957,-0.027707576751708984,-0.010486781597137451,-0.028851330280303955,-0.03098738193511963,0.00848454236984253,-0.0326002836227417,-0.03346717357635498,-0.033302366733551025,-0.01813375949859619,-0.017741918563842773,-0.027833640575408936
2025-04-28,-0.023366451263427734,0.026919126510620117,0.018396377563476562,0.01984262466430664,0.013550162315368652,-0.03018033504486084,0.011767864227294922,0.014889240264892578,0.029010295867919922,0.0234144926071167,0.010837435722351074,0.02887880802154541
2025-04-29,-0.0025370121002197266,-0.0047907233238220215,0.009817361831665039,0.009021759033203125,0.012299418449401855,0.015362560749053955,0.013481378555297852,0.031729817390441895,0.0045604705810546875,-0.005872607231140137,0.04191029071807861,-0.0014475584030151367
2025-04-30,0.012863755226135254,-0.02270662784576416,-0.014971792697906494,-0.018851637840270996,-0.02113044261932373,0.019956469535827637,-0.02112680673599243,-0.020833313465118408,-0.02352452278137207,-0.02941352128982544,-0.031805455684661865,-0.02013528347015381
2025-05-02,0.005340754985809326,0.002044677734375,-0.0005921721458435059,-0.006258249282836914,-0.008634626865386963,0.013606131076812744,0.008792996406555176,-0.009456276893615723,-0.0049661993980407715,0.014391660690307617,0.015458941459655762,0.0034521818161010742
2025-05-05,-0.0021477937698364258,0.00853276252746582,0.023108839988708496,0.0032041072845458984,0.0019053220748901367,-0.0329362154006958,-0.007659852504730225,-0.008523702621459961,-0.0031856894493103027,-0.012499988079071045,-0.003488779067993164,-8.195638656616211e-05
