symbol,date,open,high,low,close,volume
AUBANK,2022-10-13,583.3,586.9,578.1,581.6,2191049
AUBANK,2022-10-14,590.0,606.0,585.0,601.4,3262434
AUBANK,2022-10-17,599.6,618.0,595.85,615.75,1806133
AUBANK,2022-10-18,618.85,628.75,616.45,625.6,1137553
AUBANK,2022-10-19,628.0,632.0,616.5,625.95,1939613
AUBANK,2022-10-20,619.95,619.95,585.0,592.35,5705861
AUBANK,2022-10-21,595.35,607.0,577.35,579.35,3625697
AUBANK,2022-10-24,599.0,599.0,578.0,580.7,515268
AUBANK,2022-10-25,581.75,581.75,567.5,574.9,1469741
AUBANK,2022-10-27,576.5,583.25,575.95,580.85,1156810
AUBANK,2022-10-28,580.4,583.2,571.55,574.1,1169510
AUBANK,2022-10-31,579.85,590.2,577.15,589.55,1170001
AUBANK,2022-11-01,593.95,616.6,592.0,613.6,3250869
AUBANK,2022-11-02,614.0,621.75,610.4,616.6,1398819
AUBANK,2022-11-03,614.8,618.8,611.05,614.6,1134976
AUBANK,2022-11-04,613.0,619.9,611.8,616.35,805042
AUBANK,2022-11-07,619.45,621.75,613.8,616.35,1166056
AUBANK,2022-11-09,619.3,647.6,616.0,642.55,3550281
AUBANK,2022-11-10,639.5,643.0,620.15,628.4,1549410
AUBANK,2022-11-11,635.0,655.0,620.95,623.55,1519531
AUBANK,2022-11-14,625.9,640.5,622.0,636.15,1086235
AUBANK,2022-11-15,636.9,638.85,632.0,633.9,977826
AUBANK,2022-11-16,632.0,632.9,622.0,624.8,1791280
AUBANK,2022-11-17,621.8,621.8,605.5,610.9,1431167
AUBANK,2022-11-18,614.0,618.6,605.9,612.2,857461
AUBANK,2022-11-21,612.0,622.0,609.2,615.05,791310
AUBANK,2022-11-22,618.15,621.3,610.15,617.75,613966
AUBANK,2022-11-23,620.8,627.0,615.35,623.9,827880
AUBANK,2022-11-24,625.0,638.55,622.0,636.35,1089860
AUBANK,2022-11-25,636.0,640.0,628.5,637.75,1083395
AUBANK,2022-11-28,629.7,644.75,629.7,638.75,945254
AUBANK,2022-11-29,639.0,641.9,625.85,627.35,791869
AUBANK,2022-11-30,628.0,644.85,627.65,639.3,2604030
AUBANK,2022-12-01,642.0,649.3,637.3,639.2,1264166
AUBANK,2022-12-02,637.9,649.95,630.2,648.35,2011522
AUBANK,2022-12-05,650.0,656.0,646.25,651.15,1406695
